idx,cluster
257,2
258,15
259,8
260,3
261,15
262,10
263,5
264,10
265,6
266,8
267,16
268,16
269,15
270,14
271,16
272,4
273,11
274,13
275,4
276,9
277,11
278,15
279,3
280,16
281,16
282,16
283,15
284,14
285,2
286,0
287,1
288,15
289,6
290,13
291,8
292,15
293,16
294,1
295,9
296,14
297,16
298,12
299,4
300,7
301,4
302,5
303,16
304,1
305,9
306,15
307,3
308,0
309,3
310,15
311,8
312,6
313,12
314,5
315,14
316,14
317,14
318,12
319,6
320,11
321,9
322,9
323,12
324,9
325,11
326,5
327,5
328,16
329,0
330,6
331,15
332,1
333,5
334,15
335,15
336,8
337,13
338,8
339,0
340,16
341,15
342,7
343,16
344,15
345,15
346,9
347,6
348,4
349,5
350,3
351,10
352,9
353,15
354,10
355,13
356,11
357,10
358,11
359,16
360,2
361,15
362,6
363,0
364,14
365,9
366,14
367,7
368,15
369,9
370,1
371,14
372,0
373,6
374,5
375,11
376,4
377,11
378,8
379,0
380,6
381,6
382,12
383,12
384,15
385,16
386,5
387,3
388,9
389,5
390,6
391,16
392,9
393,14
394,12
395,3
396,0
397,10
398,6
399,14
400,1
401,16
402,5
403,15
404,14
405,9
406,3
407,12
408,10
409,1
410,10
411,12
412,11
413,2
414,16
415,16
416,3
417,12
418,9
419,13
420,14
421,14
422,15
423,13
424,7
425,9
426,9
427,16
428,2
429,9
430,12
431,9
432,16
433,16
434,5
435,13
436,12
437,0
438,1
439,16
440,8
441,12
442,12
443,0
444,1
445,15
446,10
447,1
448,3
449,13
450,10
451,12
452,15
453,3
454,1
455,1
456,5
457,12
458,10
459,2
460,7
461,8
462,3
463,15
464,9
465,15
466,14
467,4
468,16
469,13
470,16
471,14
472,9
473,12
474,4
475,16
476,9
477,12
478,0
479,2
480,11
481,14
482,8
483,3
484,7
485,12
486,16
487,5
488,15
489,6
490,14
491,10
492,9
493,16
494,13
495,12
496,14
497,13
498,12
499,12
500,3
501,16
502,16
503,16
504,3
505,10
506,15
507,6
508,0
509,16
510,12
511,9
512,11
513,0
514,9
515,16
516,16
517,14
518,10
519,1
520,14
521,4
522,6
523,7
524,3
525,16
526,1
527,13
528,0
529,14
530,4
531,11
532,16
533,13
534,8
535,15
536,0
537,0
538,13
539,13
540,14
541,2
542,12
543,0
544,5
545,4
546,10
547,5
548,9
549,9
550,16
551,1
552,3
553,4
554,3
555,3
556,3
557,15
558,6
559,6
560,6
561,8
562,5
563,0
564,0
565,7
566,16
567,12
568,0
569,1
570,0
571,3
572,12
573,9
574,7
575,9
576,13
577,1
578,10
579,11
580,13
581,16
582,10
583,12
584,10
585,16
586,5
587,4
588,16
589,14
590,9
591,16
592,11
593,8
594,0
595,9
596,8
597,3
598,3
599,12
600,3
601,3
602,3
603,9
604,1
605,3
606,12
607,9
608,2
609,4
610,14
611,16
612,3
613,9
614,12
615,10
616,0
617,6
618,8
619,1
620,15
621,9
622,5
623,6
624,6
625,5
626,9
627,9
628,4
629,6
630,16
631,13
632,8
633,4
634,0
635,3
636,9
637,1
638,7
639,12
640,3
641,16
642,4
643,2
644,11
645,3
646,16
647,5
648,10
649,3
650,12
651,9
652,3
653,8
654,10
655,14
656,16
657,2
658,15
659,7
660,11
661,16
662,12
663,8
664,15
665,15
666,1
667,10
668,16
669,15
670,13
671,8
672,10
673,16
674,5
675,7
676,10
677,3
678,3
679,13
680,10
681,0
682,3
683,9
684,3
685,10
686,3
687,12
688,16
689,10
690,13
691,1
692,11
693,3
694,9
695,4
696,1
697,14
698,6
699,14
700,12
701,10
702,3
703,9
704,10
705,9
706,0
707,6
708,12
709,10
710,3
711,14
712,3
713,12
714,3
715,6
716,15
717,3
718,4
719,12
720,16
721,3
722,13
723,12
724,1
725,7
726,14
727,11
728,15
729,13
730,15
731,16
732,0
733,13
734,15
735,16
736,15
737,3
738,9
739,15
740,5
741,14
742,11
743,13
744,0
745,6
746,3
747,16
748,9
749,12
750,8
751,13
752,10
753,9
754,16
755,9
756,8
757,10
758,15
759,12
760,4
761,14
762,12
763,16
764,4
765,13
766,0
767,3
768,7
769,9
770,15
771,3
772,10
773,3
774,9
775,16
776,14
777,15
778,16
779,16
780,3
781,14
782,1
783,4
784,13
785,12
786,16
787,13
788,2
789,13
790,14
791,6
792,4
793,3
794,16
795,7
796,15
797,11
798,16
799,14
800,16
801,3
802,10
803,6
804,16
805,10
806,15
807,1
808,15
809,15
810,10
811,15
812,16
813,12
814,15
815,14
816,2
817,13
818,4
819,15
820,9
821,9
822,2
823,6
824,14
825,10
826,10
827,16
828,3
829,12
830,9
831,16
832,9
833,12
834,12
835,16
836,5
837,7
838,4
839,15
840,8
841,14
842,10
843,6
844,10
845,9
846,16
847,13
848,15
849,5
850,14
851,13
852,12
853,16
854,16
855,13
856,15
857,3
858,6
859,5
860,1
861,16
862,1
863,1
864,3
865,16
866,3
867,6
868,14
869,15
870,15
871,9
872,15
873,12
874,3
875,12
876,0
877,15
878,1
879,12
880,8
881,14
882,1
883,14
884,15
885,2
886,1
887,14
888,16
889,12
890,4
891,13
892,6
893,12
894,13
895,6
896,16
897,11
898,14
899,6
900,14
901,9
902,13
903,6
904,5
905,5
906,10
907,4
908,9
909,15
910,4
911,1
912,12
913,15
914,3
915,13
916,3
917,4
918,2
919,3
920,1
921,13
922,15
923,0
924,15
925,6
926,6
927,9
928,15
929,8
930,2
931,16
932,13
933,12
934,9
935,0
936,0
937,1
938,14
939,16
940,3
941,14
942,14
943,3
944,3
945,16
946,16
947,15
948,7
949,15
950,14
951,16
952,10
953,8
954,4
955,1
956,5
957,13
958,1
959,12
960,8
961,6
962,0
963,6
964,0
965,14
966,11
967,13
968,15
969,6
970,12
971,16
972,11
973,1
974,9
975,1
976,3
977,11
978,11
979,16
980,12
981,1
982,2
983,14
984,9
985,3
986,9
987,3
988,14
989,2
990,11
991,15
992,8
993,15
994,2
995,1
996,12
997,16
998,2
999,15
1000,16
1001,0
1002,5
1003,14
1004,8
1005,15
1006,14
1007,12
1008,4
1009,13
1010,14
1011,0
1012,8
1013,6
1014,9
1015,6
1016,3
1017,1
1018,4
1019,10
1020,12
1021,0
1022,6
1023,3
1024,16
1025,15
1026,3
1027,4
1028,11
1029,3
1030,0
1031,14
1032,14
1033,15
1034,0
1035,8
1036,9
1037,16
1038,9
1039,11
1040,6
1041,9
1042,13
1043,13
1044,4
1045,6
1046,14
1047,15
1048,3
1049,2
1050,0
1051,15
1052,8
1053,13
1054,1
1055,3
1056,10
1057,15
1058,6
1059,6
1060,2
1061,7
1062,15
1063,9
1064,6
1065,15
1066,15
1067,4
1068,16
1069,8
1070,1
1071,3
1072,12
1073,15
1074,16
1075,11
1076,3
1077,14
1078,10
1079,5
1080,14
1081,10
1082,1
1083,10
1084,10
1085,1
1086,11
1087,10
1088,14
1089,14
1090,9
1091,5
1092,5
1093,13
1094,12
1095,10
1096,10
1097,6
1098,14
1099,12
1100,8
1101,10
1102,11
1103,0
1104,10
1105,15
1106,5
1107,12
1108,10
1109,4
1110,0
1111,10
1112,14
1113,4
1114,10
1115,1
1116,14
1117,5
1118,8
1119,16
1120,3
1121,5
1122,16
1123,12
1124,12
1125,2
1126,3
1127,6
1128,15
1129,9
1130,3
1131,16
1132,12
1133,12
1134,6
1135,5
1136,0
1137,7
1138,12
1139,7
1140,13
1141,12
1142,16
1143,5
1144,12
1145,9
1146,5
1147,3
1148,12
1149,3
1150,4
1151,1
1152,14
1153,9
1154,9
1155,15
1156,10
1157,3
1158,1
1159,10
1160,12
1161,12
1162,6
1163,12
1164,11
1165,13
1166,3
1167,1
1168,9
1169,3
1170,3
1171,5
1172,9
1173,3
1174,3
1175,1
1176,10
1177,12
1178,16
1179,3
1180,4
1181,8
1182,13
1183,11
1184,12
1185,8
1186,9
1187,15
1188,10
1189,6
1190,10
1191,16
1192,16
1193,3
1194,2
1195,2
1196,5
1197,10
1198,12
1199,5
1200,6
1201,9
1202,10
1203,12
1204,13
1205,11
1206,13
1207,3
1208,9
1209,9
1210,5
1211,9
1212,4
1213,16
1214,0
1215,3
1216,3
1217,10
1218,16
1219,15
1220,14
1221,11
1222,6
1223,3
1224,10
1225,12
1226,10
1227,5
1228,12
1229,8
1230,4
1231,6
1232,7
1233,11
1234,3
1235,6
1236,0
1237,16
1238,11
1239,15
1240,6
1241,9
1242,3
1243,12
1244,9
1245,0
1246,12
1247,3
1248,6
1249,11
1250,6
1251,7
1252,3
1253,3
1254,3
1255,12
1256,15
1257,14
1258,5
1259,2
1260,0
1261,13
1262,5
1263,12
1264,9
1265,5
1266,2
1267,15
1268,9
1269,16
1270,14
1271,9
1272,16
1273,13
1274,7
1275,7
1276,10
1277,7
1278,12
1279,10
1280,11
1281,10
1282,10
1283,5
1284,6
1285,2
1286,16
1287,2
1288,3
1289,5
1290,3
1291,3
1292,3
1293,9
1294,0
1295,12
1296,12
1297,2
1298,0
1299,4
1300,6
1301,16
1302,15
1303,9
1304,15
1305,14
1306,2
1307,9
1308,4
1309,1
1310,10
1311,16
1312,8
1313,16
1314,2
1315,9
1316,6
1317,0
1318,14
1319,5
1320,4
1321,11
1322,0
1323,0
1324,12
1325,13
1326,16
1327,15
1328,9
1329,13
1330,12
1331,3
1332,11
1333,10
1334,12
1335,10
1336,13
1337,16
1338,0
1339,10
1340,12
1341,13
1342,15
1343,4
1344,8
1345,8
1346,14
1347,9
1348,0
1349,12
1350,12
1351,13
1352,6
1353,5
1354,15
1355,14
1356,3
1357,1
1358,2
1359,15
1360,14
1361,11
1362,3
1363,5
1364,15
1365,13
1366,4
1367,4
1368,9
1369,12
1370,7
1371,12
1372,9
1373,8
1374,4
1375,13
1376,16
1377,16
1378,8
1379,14
1380,6
1381,12
1382,0
1383,12
1384,9
1385,8
1386,12
1387,14
1388,0
1389,8
1390,3
1391,14
1392,14
1393,8
1394,3
1395,6
1396,3
1397,12
1398,13
1399,12
1400,7
1401,8
1402,2
1403,1
1404,6
1405,8
1406,0
1407,9
1408,0
1409,15
1410,0
1411,14
1412,11
1413,0
1414,9
1415,11
1416,5
1417,15
1418,0
1419,15
1420,9
1421,15
1422,3
1423,15
1424,1
1425,0
1426,7
1427,14
1428,10
1429,0
1430,15
1431,16
1432,11
1433,3
1434,10
1435,6
1436,5
1437,12
1438,9
1439,3
1440,8
1441,3
1442,8
1443,8
1444,9
1445,16
1446,15
1447,9
1448,5
1449,12
1450,12
1451,15
1452,3
1453,4
1454,11
1455,7
1456,4
1457,4
1458,14
1459,3
1460,15
1461,0
1462,2
1463,9
1464,14
1465,16
1466,2
1467,3
1468,8
1469,15
1470,7
1471,15
1472,12
1473,11
1474,6
1475,9
1476,13
1477,15
1478,10
1479,15
1480,16
1481,13
1482,3
1483,2
1484,0
1485,6
1486,8
1487,10
1488,11
1489,10
1490,11
1491,11
1492,16
1493,4
1494,16
1495,14
1496,16
1497,11
1498,3
1499,3
1500,2
1501,9
1502,7
1503,6
1504,4
1505,1
1506,15
1507,14
1508,3
1509,14
1510,3
1511,1
1512,3
1513,3
1514,13
1515,10
1516,10
1517,4
1518,1
1519,3
1520,4
1521,3
1522,9
1523,2
1524,4
1525,1
1526,15
1527,11
1528,11
1529,12
1530,6
1531,14
1532,11
1533,9
1534,4
1535,16
1536,5
1537,0
1538,15
1539,9
1540,13
1541,16
1542,5
1543,4
1544,8
1545,15
1546,7
1547,6
1548,3
1549,3
1550,3
1551,11
1552,3
1553,12
1554,11
1555,1
1556,11
1557,0
1558,10
1559,0
1560,1
1561,0
1562,0
1563,13
1564,16
1565,12
1566,10
1567,9
1568,8
1569,14
1570,12
1571,12
1572,14
1573,7
1574,4
1575,10
1576,10
1577,3
1578,9
1579,10
1580,5
1581,16
1582,15
1583,6
1584,15
1585,6
1586,1
1587,14
1588,3
1589,11
1590,2
1591,15
1592,16
1593,4
1594,13
1595,12
1596,15
1597,4
1598,2
1599,15
1600,7
1601,16
1602,5
1603,3
1604,15
1605,9
1606,16
1607,7
1608,8
1609,0
1610,0
1611,6
1612,6
1613,15
1614,4
1615,8
1616,3
1617,16
1618,15
1619,3
1620,8
1621,1
1622,16
1623,11
1624,10
1625,13
1626,2
1627,9
1628,16
1629,12
1630,13
1631,4
1632,16
1633,9
1634,2
1635,0
1636,1
1637,13
1638,13
1639,6
1640,15
1641,15
1642,3
1643,9
1644,8
1645,8
1646,3
1647,16
1648,12
1649,3
1650,15
1651,5
1652,0
1653,11
1654,9
1655,2
1656,10
1657,16
1658,12
1659,14
1660,0
1661,9
1662,7
1663,16
1664,12
1665,0
1666,13
1667,3
1668,11
1669,13
1670,15
1671,13
1672,7
1673,4
1674,9
1675,10
1676,2
1677,3
1678,3
1679,8
1680,3
1681,1
1682,13
1683,15
1684,16
1685,12
1686,14
1687,14
1688,9
1689,2
1690,12
1691,11
1692,12
1693,16
1694,4
1695,15
1696,5
1697,9
1698,9
1699,14
1700,6
1701,10
1702,12
1703,6
1704,5
1705,13
1706,16
1707,15
1708,15
1709,1
1710,3
1711,7
1712,12
1713,11
1714,14
1715,16
1716,16
1717,12
1718,9
1719,11
1720,15
1721,3
1722,9
1723,9
1724,15
1725,5
1726,9
1727,11
1728,14
1729,2
1730,16
1731,14
1732,3
1733,4
1734,3
1735,10
1736,9
1737,16
1738,5
1739,9
1740,6
1741,14
1742,11
1743,2
1744,8
1745,3
1746,2
1747,11
1748,12
1749,1
1750,10
1751,0
1752,3
1753,15
1754,5
1755,15
1756,9
1757,10
1758,15
1759,9
1760,8
1761,2
1762,0
1763,11
1764,12
1765,12
1766,0
1767,16
1768,7
1769,12
1770,11
1771,1
1772,7
1773,15
1774,3
1775,3
1776,3
1777,11
1778,3
1779,2
1780,3
1781,12
1782,12
1783,12
1784,14
1785,10
1786,3
1787,1
1788,0
1789,15
1790,6
1791,5
1792,5
1793,15
1794,3
1795,6
1796,7
1797,5
1798,15
1799,3
1800,12
1801,0
1802,15
1803,6
1804,14
1805,10
1806,7
1807,15
1808,14
1809,7
1810,1
1811,7
1812,13
1813,12
1814,10
1815,2
1816,10
1817,15
1818,12
1819,8
1820,13
1821,8
1822,8
1823,15
1824,3
1825,5
1826,16
1827,1
1828,8
1829,12
1830,9
1831,2
1832,13
1833,9
1834,14
1835,6
1836,6
1837,10
1838,12
1839,10
1840,3
1841,12
1842,11
1843,6
1844,3
1845,16
1846,16
1847,16
1848,0
1849,14
1850,5
1851,16
1852,7
1853,6
1854,3
1855,16
1856,12
1857,9
1858,13
1859,4
1860,0
1861,14
1862,8
1863,9
1864,0
1865,10
1866,0
1867,3
1868,5
1869,11
1870,13
1871,10
1872,9
1873,5
1874,4
1875,7
1876,5
1877,6
1878,3
1879,14
1880,16
1881,3
1882,10
1883,8
1884,16
1885,15
1886,4
1887,14
1888,3
1889,9
1890,4
1891,15
1892,9
1893,13
1894,3
1895,12
1896,7
1897,12
1898,9
1899,14
1900,10
1901,12
1902,3
1903,15
1904,3
1905,0
1906,6
1907,5
1908,3
1909,9
1910,8
1911,0
1912,11
1913,10
1914,5
1915,3
1916,16
1917,7
1918,15
1919,12
1920,5
1921,3
1922,3
1923,8
1924,3
1925,3
1926,6
1927,6
1928,16
1929,12
1930,9
1931,3
1932,16
1933,11
1934,12
1935,13
1936,10
1937,12
1938,10
1939,4
1940,7
1941,15
1942,7
1943,14
1944,16
1945,13
1946,9
1947,3
1948,16
1949,8
1950,3
1951,15
1952,9
1953,2
1954,3
1955,8
1956,1
1957,6
1958,6
1959,3
1960,0
1961,3
1962,10
1963,16
1964,4
1965,15
1966,15
1967,15
1968,15
1969,15
1970,10
1971,16
1972,6
1973,15
1974,10
1975,15
1976,8
1977,3
1978,13
1979,8
1980,5
1981,9
1982,15
1983,6
1984,6
1985,7
1986,12
1987,2
1988,14
1989,11
1990,12
1991,9
1992,11
1993,0
1994,16
1995,13
1996,15
1997,11
1998,3
1999,15
2000,6
2001,4
2002,7
2003,10
2004,10
2005,16
2006,3
2007,9
2008,12
2009,4
2010,12
2011,15
2012,5
2013,15
2014,13
2015,10
2016,3
2017,5
2018,9
2019,7
2020,16
2021,15
2022,2
2023,10
2024,15
2025,10
2026,10
2027,5
2028,7
2029,4
2030,12
2031,3
2032,8
2033,3
2034,14
2035,13
2036,3
2037,16
2038,7
2039,11
2040,12
2041,1
2042,16
2043,12
2044,12
2045,13
2046,2
2047,14
2048,1
2049,9
2050,11
2051,13
2052,1
2053,15
2054,13
2055,3
2056,2
2057,12
2058,10
2059,6
2060,9
2061,10
2062,15
2063,12
2064,11
2065,9
2066,5
2067,5
2068,1
2069,7
2070,3
2071,12
2072,7
2073,14
2074,3
2075,11
2076,11
2077,12
2078,0
2079,16
2080,5
2081,16
2082,16
2083,16
2084,5
2085,10
2086,6
2087,4
2088,15
2089,13
2090,6
2091,7
2092,16
2093,13
2094,12
2095,10
2096,9
2097,9
2098,15
2099,12
2100,12
2101,9
2102,3
2103,3
2104,16
2105,6
2106,12
2107,0
2108,1
2109,0
2110,0
2111,7
2112,7
2113,9
2114,13
2115,1
2116,15
2117,6
2118,11
2119,14
2120,5
2121,5
2122,8
2123,15
2124,2
2125,13
2126,9
2127,1
2128,8
2129,1
2130,15
2131,6
2132,8
2133,10
2134,16
2135,10
2136,15
2137,13
2138,16
2139,3
2140,12
2141,12
2142,3
2143,16
2144,9
2145,13
2146,6
2147,3
2148,14
2149,0
2150,15
2151,2
2152,16
2153,6
2154,9
2155,1
2156,6
2157,2
2158,3
2159,3
2160,8
2161,6
2162,9
2163,12
2164,4
2165,5
2166,4
2167,16
2168,15
2169,5
2170,5
2171,0
2172,11
2173,15
2174,12
2175,4
2176,9
2177,1
2178,15
2179,14
2180,8
2181,7
2182,0
2183,10
2184,14
2185,13
2186,8
2187,15
2188,0
2189,11
2190,6
2191,11
2192,0
2193,0
2194,12
2195,15
2196,11
2197,2
2198,10
2199,9
2200,16
2201,10
2202,3
2203,4
2204,10
2205,15
2206,13
2207,3
2208,15
2209,8
2210,5
2211,7
2212,6
2213,14
2214,6
2215,12
2216,10
2217,16
2218,16
2219,16
2220,3
2221,14
2222,3
2223,15
2224,1
2225,16
2226,16
2227,3
2228,9
2229,4
2230,7
2231,0
2232,9
2233,1
2234,1
2235,2
2236,14
2237,9
2238,7
2239,5
2240,1
2241,16
2242,3
2243,10
2244,11
2245,11
2246,12
2247,5
2248,1
2249,0
2250,16
2251,10
2252,10
2253,10
2254,16
2255,10
2256,3
2257,15
2258,10
2259,16
2260,12
2261,14
2262,0
2263,5
2264,15
2265,16
2266,12
2267,4
2268,16
2269,4
2270,11
2271,16
2272,16
2273,3
2274,3
2275,4
2276,9
2277,6
2278,7
2279,14
2280,11
2281,8
2282,2
2283,6
2284,15
2285,14
2286,5
2287,16
2288,7
2289,15
2290,15
2291,4
2292,15
2293,3
2294,12
2295,6
2296,0
2297,6
2298,6
2299,4
2300,15
2301,11
2302,11
2303,12
2304,7
2305,4
2306,13
2307,16
2308,13
2309,9
2310,11
2311,12
2312,12
2313,1
2314,13
2315,11
2316,15
2317,2
2318,0
2319,0
2320,15
2321,0
2322,8
2323,0
2324,12
2325,15
2326,12
2327,5
2328,14
2329,4
2330,8
2331,9
2332,16
2333,16
2334,3
2335,1
2336,10
2337,10
2338,16
2339,4
2340,1
2341,16
2342,16
2343,2
2344,11
2345,12
2346,10
2347,15
2348,11
2349,3
2350,3
2351,16
2352,1
2353,8
2354,6
2355,6
2356,5
2357,12
2358,1
2359,7
2360,6
2361,15
2362,3
2363,16
2364,13
2365,10
2366,15
2367,16
2368,5
2369,5
2370,3
2371,8
2372,12
2373,7
2374,16
2375,9
2376,5
2377,6
2378,9
2379,14
2380,3
2381,4
2382,9
2383,14
2384,11
2385,4
2386,0
2387,5
2388,16
2389,6
2390,8
2391,2
2392,16
2393,16
2394,0
2395,15
2396,0
2397,4
2398,11
2399,12
2400,5
2401,16
2402,12
2403,14
2404,9
2405,8
2406,9
2407,3
2408,1
2409,6
2410,0
2411,1
2412,12
2413,0
2414,4
2415,11
2416,12
2417,6
2418,8
2419,2
2420,11
2421,4
2422,16
2423,11
2424,7
2425,3
2426,0
2427,2
2428,0
2429,16
2430,14
2431,16
2432,5
2433,9
2434,5
2435,15
2436,9
2437,3
2438,6
2439,8
2440,16
2441,8
2442,11
2443,15
2444,10
2445,9
2446,4
2447,16
2448,12
2449,10
2450,15
2451,7
2452,0
2453,15
2454,6
2455,6
2456,9
2457,6
2458,3
2459,10
2460,16
2461,3
2462,2
2463,13
2464,11
2465,9
2466,15
2467,4
2468,6
2469,10
2470,9
2471,9
2472,12
2473,14
2474,4
2475,9
2476,10
2477,13
2478,2
2479,1
2480,8
2481,10
2482,15
2483,12
2484,13
2485,13
2486,10
2487,3
2488,5
2489,11
2490,6
2491,5
2492,11
2493,9
2494,2
2495,12
2496,1
2497,11
2498,16
2499,15
2500,14
2501,3
2502,11
2503,12
2504,16
2505,9
2506,9
2507,2
2508,8
2509,11
2510,9
2511,3
2512,13
2513,15
2514,5
2515,10
2516,16
2517,16
2518,9
2519,16
2520,13
2521,12
2522,15
2523,15
2524,14
2525,14
2526,4
2527,10
2528,0
2529,13
2530,0
2531,0
2532,3
2533,12
2534,6
2535,13
2536,10
2537,15
2538,16
2539,14
2540,10
2541,5
2542,12
2543,10
2544,3
2545,16
2546,11
2547,1
2548,4
2549,3
2550,16
2551,8
2552,3
2553,1
2554,15
2555,15
2556,9
2557,9
2558,12
2559,3
2560,15
2561,12
2562,0
2563,9
2564,1
2565,4
2566,15
2567,13
2568,0
2569,3
2570,13
2571,15
2572,2
2573,9
2574,12
2575,16
2576,1
2577,14
2578,11
2579,12
2580,6
2581,8
2582,15
2583,11
2584,12
2585,11
2586,9
2587,0
2588,12
2589,9
2590,10
2591,10
2592,14
2593,3
2594,9
2595,11
2596,15
2597,6
2598,11
2599,7
2600,4
2601,4
2602,10
2603,8
2604,13
2605,10
2606,15
2607,4
2608,1
2609,6
2610,8
2611,16
2612,3
2613,1
2614,3
2615,12
2616,3
2617,3
2618,4
2619,14
2620,2
2621,1
2622,3
2623,7
2624,1
2625,13
2626,14
2627,2
2628,5
2629,8
2630,16
2631,15
2632,0
2633,9
2634,4
2635,16
2636,11
2637,16
2638,7
2639,10
2640,3
2641,15
2642,3
2643,8
2644,8
2645,9
2646,5
2647,15
2648,16
2649,15
2650,1
2651,3
2652,11
2653,14
2654,3
2655,15
2656,14
2657,11
2658,3
2659,15
2660,14
2661,3
2662,13
2663,2
2664,15
2665,3
2666,12
2667,3
2668,3
2669,11
2670,3
2671,3
2672,2
2673,12
2674,13
2675,6
2676,3
2677,13
2678,4
2679,12
2680,9
2681,12
2682,8
2683,11
2684,6
2685,16
2686,15
2687,12
2688,14
2689,15
2690,2
2691,13
2692,16
2693,0
2694,1
2695,0
2696,10
2697,3
2698,16
2699,13
2700,12
2701,10
2702,1
2703,0
2704,10
2705,15
2706,2
2707,0
2708,16
2709,2
2710,8
2711,5
2712,1
2713,3
2714,12
2715,11
2716,15
2717,4
2718,10
2719,16
2720,10
2721,14
2722,3
2723,4
2724,0
2725,12
2726,8
2727,10
2728,16
2729,13
2730,0
2731,6
2732,16
2733,14
2734,3
2735,16
2736,0
2737,11
2738,5
2739,11
2740,10
2741,12
2742,9
2743,4
2744,16
2745,15
2746,8
2747,13
2748,2
2749,16
2750,6
2751,16
2752,12
2753,15
2754,9
2755,9
2756,16
2757,1
2758,0
2759,8
2760,0
2761,15
2762,10
2763,3
2764,13
2765,9
2766,10
2767,11
2768,9
2769,3
2770,0
2771,16
2772,13
2773,6
2774,3
2775,9
2776,12
2777,0
2778,3
2779,12
2780,1
2781,4
2782,11
2783,16
2784,3
2785,11
2786,2
2787,2
2788,6
2789,12
2790,11
2791,8
2792,13
2793,2
2794,15
2795,3
2796,16
2797,12
2798,4
2799,16
2800,12
2801,1
2802,8
2803,16
2804,9
2805,16
2806,5
2807,1
2808,11
2809,15
2810,8
2811,5
2812,5
2813,5
2814,16
2815,16
2816,6
2817,16
2818,12
2819,14
2820,10
2821,0
2822,4
2823,14
2824,16
2825,3
2826,8
2827,4
2828,3
2829,3
2830,16
2831,5
2832,15
2833,5
2834,2
2835,3
2836,10
2837,15
2838,10
2839,6
2840,4
2841,4
2842,8
2843,15
2844,13
2845,3
2846,6
2847,10
2848,1
2849,9
2850,14
2851,8
2852,8
2853,10
2854,10
2855,6
2856,1
2857,6
2858,7
2859,15
2860,15
2861,10
2862,12
2863,12
2864,12
2865,7
2866,14
2867,3
2868,12
2869,2
2870,15
2871,12
2872,4
2873,10
2874,9
2875,12
2876,6
2877,1
2878,6
2879,15
2880,3
2881,3
2882,9
2883,11
2884,1
2885,16
2886,5
2887,16
2888,15
2889,15
2890,7
2891,15
2892,0
2893,10
2894,3
2895,14
2896,1
2897,11
2898,11
2899,10
2900,16
2901,16
2902,10
2903,5
2904,11
2905,10
2906,16
2907,14
2908,14
2909,15
2910,12
2911,4
2912,13
2913,15
2914,16
2915,3
2916,6
2917,6
2918,16
2919,3
2920,9
2921,14
2922,6
2923,2
2924,3
2925,16
2926,3
2927,14
2928,6
2929,16
2930,4
2931,12
2932,9
2933,9
2934,12
2935,15
2936,11
2937,11
2938,16
2939,10
2940,10
2941,9
2942,16
2943,13
2944,15
2945,3
2946,12
2947,10
2948,12
2949,2
2950,14
2951,14
2952,7
2953,16
2954,15
2955,14
2956,10
2957,12
2958,12
2959,3
2960,3
2961,3
2962,16
2963,1
2964,11
2965,10
2966,15
2967,12
2968,3
2969,13
2970,0
2971,6
2972,15
2973,12
2974,12
2975,0
2976,0
2977,15
2978,15
2979,10
2980,12
2981,11
2982,3
2983,11
2984,13
2985,12
2986,3
2987,11
2988,5
2989,6
2990,12
2991,10
2992,16
2993,9
2994,3
2995,3
2996,3
